Tender,Company,Procurement,Notice,Location,Closing,Value,Date
"The Barnet Group: Fire Safety, Electrical and Associated Services Contract",None,Opportunity,Open,South East,"4 October 2023, 12am",£0,4 September 2023
External Audit Services,None,Opportunity,Open,West Midlands,"12 October 2023, 12pm","£400,000",4 September 2023
COV - Monitoring and Evaluation of School Improvement Activity,None,Opportunity,Open,CV1 2GN,"31 July 2026,  1pm","£0 to £581,000","30 March 2022, last edited  4 September 2023"
A47 Tuddenham to Easton - Supply and Installation of Bored Piling including Cropping,None,Early engagement,Open,East of England,18 September 2023,Publication date4 September 2023,None
708748450 Payroll Giving - Armed Forces Charities,None,Opportunity,Open,Any region,"28 September 2023, 10am","£82,500 to £137,500","29 August 2023, last edited  4 September 2023"
Design and build of a new concrete skate park,None,Opportunity,Open,NN9 6DG,"11 October 2023, 11:59pm","£200,000","7 August 2023, last edited  4 September 2023"
NCC1229 Woodhorn Museum Lift Replacement,None,Opportunity,Open,England,"19 September 2023, 11:59pm","£60,000","17 August 2023, last edited  4 September 2023"
Framework for the Provision of Electrical Works and Goods,None,Opportunity,Open,Yorkshire and the Humber,"6 October 2023,  1pm","£0 to £4,700,000",4 September 2023
Clerk of Works for the Open NCC and S+IP Capital Programme 23-25,None,Opportunity,Open,SW7 2DD,"22 September 2023, 12pm","£0 to £50,000",4 September 2023
"3 Year Mini-Bus Lease 30,000 miles pa",None,Opportunity,Open,South East,"11 September 2023, 12pm","£30,000 to £40,000","3 September 2023, last edited  4 September 2023"
Installation of a New Cafe at Kensington Central Library,None,Opportunity,Open,SW3 5EE,"27 September 2023, 12pm","£30,000",4 September 2023
National Angling Strategic Services Contract 3 (NASS3),None,Opportunity,Open,Any region,"30 October 2023,  5pm",£1,4 September 2023
Review of evidence: Sustainable Management of Agricultural Soils in England,None,Opportunity,Open,WR5 2NP,"3 October 2023, 11:45pm","£0 to £70,000",4 September 2023
Allonby Bay HPMA fish survey,None,Opportunity,Open,North West,"15 September 2023, 12pm","£15,000 to £40,000","23 August 2023, last edited  4 September 2023"
Inductively Coupled Plasma - Mass Spectrometer with Service and Maintenance,None,Opportunity,Open,PO12 2DL,"4 October 2023, 10am","£350,000",4 September 2023
Investigation into potential disturbance on South Pennine Moors,None,Opportunity,Open,Yorkshire and the Humber,"12 September 2023, 12pm","£5,000 to £45,000","28 July 2023, last edited  4 September 2023"
Pre-Market Engagement for the provision of Ordinarily Available: Best Endeavours and Reasonable Adjustments  (Inclusion Audit Tool for Schools),None,Early engagement,Open,England,15 September 2023,"Publication date4 September 2023, last edited  4 September 2023",None
Kitchen & Bathroom Replacement Programme - Phase 24,None,Opportunity,Open,UB8 1UW,"2 October 2023, 12pm","£400,000",4 September 2023
Key Cities Policy and Media Support Services,None,Opportunity,Open,England,"4 October 2023,  5pm","£320,000",4 September 2023
Thurrock Integrated Adults' and Young Persons' Substance Misuse Treatment Service,None,Opportunity,Open,RM17 6SL,"20 October 2023, 12pm","£0 to £12,855,296","4 September 2023, last edited  4 September 2023"
Further Competition - Detached Youthwork Nottingham City Centre,None,Opportunity,Open,East Midlands,"18 September 2023,  5pm","£0 to £270,650",4 September 2023
works on steel cladding and brickwork,None,Opportunity,Open,pe21 7pj,"19 September 2023,  2pm","£1,000 to £2,000",4 September 2023
Semi Comprehensive Annual Maintenance Contract (AMC) for Diesel Generators at British High Commission and British Deputy High Commission across India Network,None,Opportunity,Open,Any region,"3 October 2023,  5pm","£175,000",4 September 2023
"Provision of Supply of R32 Split Air Conditioning Units to British High Commission Islamabad and British Deputy High Commission, Karachi",None,Opportunity,Open,Any region,"18 September 2023,  5pm","£110,000",4 September 2023
"CSC23033 Combined Management and Administration of Holiday Activities and Food (HAF) and  Groups, Activities & Short Breaks (GA&SB)",None,Opportunity,Open,WR5 2NP,"9 October 2023,  9am",£0,"4 September 2023, last edited  4 September 2023"
Pre-tender notification for T1279 Research Proposal on Defining Colour Vision Requirements for Mainline Train Drivers,None,Opportunity,Open,Any region,"9 October 2023,  3pm","£75,000",4 September 2023
Co-located IDVA Service 2024,None,Opportunity,Open,London,"27 October 2023, 12pm","£0 to £660,000",4 September 2023
Dedicated Courier Service,None,Opportunity,Open,EX2 7HQ,"16 October 2023, 12pm",£0,4 September 2023
SLaM Bathroom Conversion at Aubrey Lewis House - ST23 - P095,None,Opportunity,Open,BR3 3BX,"22 September 2023, 12pm","£50,000",4 September 2023
Tender for WLWA: Consultancy agreement for the provision of services to deliver resident insights for West London Waste Authority,None,Opportunity,Open,England,"3 October 2023,  5pm","£50,000 to £250,000",4 September 2023
UKRI-3140 Marine Technical Advisor for UKRI-NERC,None,Opportunity,Open,South West,"13 October 2023,  2pm","£5,000,000",4 September 2023
NCC1235 Seton Hall Earthworks and Groundworks,None,Opportunity,Open,England,"18 September 2023, 12pm","£3,500,000","25 August 2023, last edited  4 September 2023"
Provision of Delivery Associate Support for Local Authorities,None,Opportunity,Open,United Kingdom,"15 September 2023,  5pm","£5,166,666.67","15 August 2023, last edited  4 September 2023"
GB-Cromer: PROC104 MTC Heating & Plumbing Works,None,Opportunity,Open,East of England,"27 September 2023, 12pm","£100,000 to £500,000",4 September 2023
CBC-1577-LV-AS-Retail Study Analysis,None,Opportunity,Open,SG17 5TQ,"11 September 2023,  9am",£0,4 September 2023
self-loading pistols supplier day,None,Early engagement,Open,London,29 September 2023,Publication date4 September 2023,None
"GB-York: NTL - Procurement of Principal Contractor for Customer Information Screens, including Public Announcement Systems GRIP 5 (ES5) to GRIP 8 (ES8) - Lot 2",None,Opportunity,Open,Yorkshire and the Humber,"15 September 2023, 12am","£1,000,000 to £5,000,000","1 September 2023, last edited  4 September 2023"
High-Level Gutter Cleaning,None,Opportunity,Open,IP1 2DE,"2 October 2023, 11am","£0 to £100,000",4 September 2023
Employment Support Service,None,Opportunity,Open,London,"29 September 2023,  5pm","£200,000","30 August 2023, last edited  4 September 2023"
GB-London: Old Finsbury Town Hall Boiler Room Refurbishment Project,None,Opportunity,Open,London,"20 October 2023, 12pm","£100,000 to £500,000",4 September 2023
A&E Family Support Workers scheme,None,Opportunity,Open,LS2 7UE,"5 October 2023, 12pm","£1,500,000",4 September 2023
Driver Training Project - Driver Training Delivery and Support Contract,None,Opportunity,Open,North West,"3 October 2023, 12pm","£0 to £308,000,000",4 September 2023
Nottingham University Hospitals NHS Trust Fire Door Inspections,None,Opportunity,Open,NG5 1PB,"2 October 2023, 12pm","£115,000",4 September 2023
ID 5015355- Adult Domiciliary Care Placement,None,Opportunity,Open,England,"18 September 2023, 12pm",£0,4 September 2023
Spring Gardens MSCP Safety-Critical Works 2023,None,Opportunity,Open,South West,"18 October 2023, 12pm","£150,000",4 September 2023
3867/AMRC/GM/23 - 3D Printing Consumables Framework,None,Opportunity,Open,S60 5TZ,"18 September 2023, 12pm","£0 to £120,000","4 September 2023, last edited  4 September 2023"
RA333946 - EV Charges for HEIW,None,Opportunity,Open,CF15 7QZ,"18 September 2023, 12pm",£0,4 September 2023
SLaM CTC Building Conversion into Workshop - ST23 - P094,None,Opportunity,Open,BR3 3BX,"3 October 2023, 12pm","£300,000 to £350,000",4 September 2023
02695 Parrot Housing Development,None,Opportunity,Open,England,"21 September 2023, 12pm","£4,500,000",4 September 2023
SLaM Lishman Unit Refurbishment Works - ST23 - P093,None,Opportunity,Open,BR3 3BX,"29 September 2023, 12pm","£250,000 to £300,000",4 September 2023
GB-Kings Lynn: Roof Repairs and Reinstatement at Lynnsport,None,Opportunity,Open,East of England,"2 October 2023, 12pm","£25,000 to £50,000",4 September 2023
Supply of Heavy Building Materials,None,Opportunity,Open,England,"21 September 2023,  4pm",£0,"10 August 2023, last edited  4 September 2023"
ER-10834 Pilot to Tackle Health Inequalities Among Muslim Population,None,Early engagement,Open,England,4 December 2023,"Publication date4 September 2023, last edited  4 September 2023",None
UHD - Chiller Resilience at Poole General Hospital,None,Opportunity,Open,BH15 2JB,"4 October 2023,  2pm","£150,000 to £120,000","4 September 2023, last edited  4 September 2023"
Core Claims Services,None,Opportunity,Open,Any region,"4 October 2023,  2pm","£50,000,000",4 September 2023
Research on Pharmaceutical Regs & NHS Resolution Appeals - Pharm Manual,None,Opportunity,Open,LS2 7UE,"5 October 2023, 12pm","£250,000",4 September 2023
Northwood football Club Ground Perimeter Fence,None,Opportunity,Open,London,"6 October 2023, 12pm","£95,000",4 September 2023
SFT/AT/066 Provision of Community Based Support for Mental Health Services,None,Opportunity,Open,South West,"2 October 2023, 12pm","£22,000,000 to £22,233,380","1 September 2023, last edited  4 September 2023"
South Cambridgeshire District Council - 3D Interactive Cambridge Model,None,Opportunity,Open,East of England,"26 September 2023,  5pm",£0,4 September 2023
COV - Stoney Road Allotments Summerhouse Repairs Phase 1,None,Opportunity,Open,CV1 2GN,"27 September 2023, 12pm","£0 to £55,000",4 September 2023
London VRU's Schools-Based Contextual Safeguarding & Culturally Sensitive Approaches,None,Opportunity,Open,London,"18 September 2023, 12pm","£0 to £200,000","8 August 2023, last edited  4 September 2023"
Servicing and Maintenance of Passenger Lifts in Social Housing 2023-25,None,Opportunity,Open,South East,"6 October 2023,  1pm","£225,000",4 September 2023
Facilities Management Database,None,Opportunity,Open,Yorkshire and the Humber,"25 September 2023,  1pm",£0,4 September 2023
"Old Hall Surgery APMS, Westminster Surgery APMS, Willaston Surgery APMS and St Werburgh's Homeless Practice and Special Allocation Service",None,Early engagement,Open,North West,15 September 2023,Publication date4 September 2023,None
GB-Cromer: PROC101 MIS Management Information System,None,Opportunity,Open,East of England,"22 September 2023, 12pm","£25,000 to £50,000",4 September 2023
SWBH - Enhancements to Core Volunteer Service,None,Opportunity,Open,B71 4HJ,"18 September 2023,  5pm","£75,000",1 September 2023
Operational and Interpretation Signage (2023),None,Opportunity,Open,SN2 2EH,"2 October 2023, 12pm","£1,050,000 to £1,750,000",1 September 2023
External Delivery Team Support for the West Yorkshire Fair Work Charter,None,Opportunity,Open,Yorkshire and the Humber,"2 October 2023, 12pm","£200,000",1 September 2023
UK Cyber Cluster Collaboration  Request for Proposal (RFP) for Commercial Partnerships Support,None,Opportunity,Open,Any region,"15 September 2023, 12pm","£40,000",1 September 2023
Stadium redevelopment works Victoria Pleasure Grounds,None,Opportunity,Open,Yorkshire and the Humber,"27 September 2023, 12pm","£2,000,000 to £3,000,000",1 September 2023
Social Housing Emerging Disruptors (SHED) 3 Framework,None,Opportunity,Open,Any region,"10 October 2023,  5pm","£100,000,000",1 September 2023
Parking management Services for Salvation Army Housing Association,None,Opportunity,Open,"North East, Yorkshire and the Humber, North West, East Midlands, West Midlands, East of England, South East, South West, London","2 October 2023,  4pm","£0 to £50,000",1 September 2023
Housing Responsive Repairs and Voids (North North Region),None,Opportunity,Open,Yorkshire and the Humber,"3 October 2023, 12pm","£29,000,000",1 September 2023
"NHS England - Provision of School Aged Immunisation Services for the Thames Valley, Kent and Medway, and Sussex",None,Opportunity,Open,South East,"18 October 2023, 12pm","£54,598,789",1 September 2023
Oldham Theatre Project - Preliminary Market Engagement Only,None,Early engagement,Open,England,18 September 2023,Publication date1 September 2023,None
Community Opportunities Framework,None,Opportunity,Open,North East,"9 October 2023,  2pm","£0 to £6,000,000",1 September 2023
Provision of Insurance and related services to Nottingham Community Housing Association Limited,None,Opportunity,Open,Any region,"2 October 2023,  5pm","£2,760,000",1 September 2023
"Retrofit Contractor - Walton Neighbourhoods, Liverpool",None,Opportunity,Open,North West,"13 October 2023, 12pm","£4,200,000",1 September 2023
SWAST-1181-TP-23-24 WAS Body Repairs,None,Opportunity,Open,EX2 7HY,"2 October 2023, 12pm","£200,000",1 September 2023
"Sustainable Energy First Limited C/O Maidstone and Tunbridge Wells NHS Trust Power, Gas and Water Supply Framework Sept 2023",None,Opportunity,Open,United Kingdom,"3 October 2023, 12pm","£1,500,000,000",1 September 2023
Development Programme for Departmental Leaders,None,Opportunity,Open,Any region,"2 October 2023,  2pm","£315,000",1 September 2023
Oral Health Provisions,None,Opportunity,Open,England,"2 October 2023,  4pm","£100,000 to £125,000",1 September 2023
DDaT22549 - Environmental Management Cloud Software Solution,None,Opportunity,Open,SN2 1FL,"6 October 2023,  2pm","£500,000",1 September 2023
London Inclusion Charter Researcher,None,Opportunity,Open,London,"25 September 2023, 12pm","£0 to £70,000","1 September 2023, last edited  1 September 2023"
"EN:Procure - Framework for Installation, Servicing, Maintenance and Repair Works (GEN4)",None,Opportunity,Open,England,"29 September 2023, 12pm","£0.01 to £3,249,000,000","7 July 2023, last edited  1 September 2023"
NW2023-17 Community Youth Worker Offer,None,Opportunity,Open,NR1 2DH,"2 October 2023,  5pm","£1 to £1,410,000",1 September 2023
Shower Room Extension Palace Road,None,Opportunity,Open,OL6 8HL,"29 September 2023, 12pm","£45,000",1 September 2023
Surrey and Sussex Police Laundry Services,None,Opportunity,Open,South East,"2 October 2023, 12pm",£0,1 September 2023
BP1054 - Design and Build of Community Pavilion and Young People's Centre,None,Opportunity,Open,East Midlands,"2 October 2023, 10am","£0 to £6,500,000",1 September 2023
The Provision of Temporary Structures for Graduation Ceremonies,None,Opportunity,Open,AL10 9AB,"2 October 2023, 12pm","£1,290,000 to £1,500,000",1 September 2023
HCC - 09/23 - Pre-Procurement Market Engagement for the Provision of a Body Removal Service for Hertfordshire County Council,None,Opportunity,Open,SG13 8DE,"27 October 2023, 12pm",£0,1 September 2023
Canberra Towers Mount,None,Opportunity,Open,South East,"18 September 2023, 12pm","£200,000","10 August 2023, last edited  1 September 2023"
National Learning Disability and Autism Hub for Advancing Practice,None,Early engagement,Open,LS2 7UE,6 October 2023,"Publication date1 September 2023, last edited  1 September 2023",None
Procurement of a contractor to recruit Trustees to Academy Trusts - CF,None,Opportunity,Open,Any region,"5 October 2023, 12pm","£0 to £1,200,000","31 August 2023, last edited  1 September 2023"
Fusion21 Building Improvements Framework,None,Opportunity,Open,Any region,"5 October 2023, 10am","£346,000,000",1 September 2023
Emissions of intentionally added microplastics,None,Opportunity,Open,Any region,"18 September 2023, 12pm","£1 to £200,000","17 August 2023, last edited  1 September 2023"
Offshore wind farm impacts on seabirds - baseline estimates in UK waters,None,Opportunity,Open,United Kingdom,"25 September 2023, 12pm","£1 to £49,999",1 September 2023
"Provision of cyclical redecoration and associated repairs for London, South East and Midlands.",None,Opportunity,Open,LE27EA,"4 October 2023, 12pm","£20,748,000 to £22,932,000",1 September 2023
"GB-Rugeley: Office refurbishment - Cannock, Staffordshire",None,Opportunity,Open,West Midlands,"25 September 2023, 12pm","£100,000 to £500,000",1 September 2023
Housing Mock Inspection and Self Assessment Process,None,Opportunity,Open,United Kingdom,"18 September 2023, 12pm","£0 to £40,000",1 September 2023
Sanctuary Housing Association - Legal Services Framework Tender (2024),None,Opportunity,Open,United Kingdom,"29 September 2023, 12pm","£30,000,000",1 September 2023
Internal Audit,None,Opportunity,Open,B35 7PR,"2 October 2023,  5pm","£60,000","1 September 2023, last edited  1 September 2023"
Supply of Internal Doors 2023 - 2026,None,Opportunity,Open,B69 3DB,"2 October 2023,  3pm","£360,000 to £450,000",1 September 2023
"Ventilation Works at Aylestone High School, Hereford, Herefordshire.",None,Opportunity,Open,England,"27 September 2023, 12pm","£160,000",1 September 2023
Aspirant Cancer Career and Education Development (ACCEND),None,Opportunity,Open,LS2 7UE,"2 October 2023, 12pm","£635,000",1 September 2023
Early engagement and soft market testing - DWP Fire Risk Assessment Services,None,Early engagement,Open,"Any region, North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Scotland, Wales",22 September 2023,"Publication date1 September 2023, last edited  1 September 2023",None
CA12828 - BURY COLLEGE - OPEN TENDER - WASTE MANAGEMENT SERVICES - ITT,None,Opportunity,Open,BL9 0BG,"3 October 2023,  5pm",£0,1 September 2023
Ecological Consultancy Services,None,Opportunity,Open,TN23 1PL,"2 October 2023, 10am","£100,000",1 September 2023
Language Services - Procurement in Partnership (PiP),None,Opportunity,Open,S4 7UQ,"3 October 2023, 12pm","£0 to £400,000,000","1 September 2023, last edited  1 September 2023"
NRC Lower Limb Rehabilitation Pre Market Engagement,None,Early engagement,Open,NG5 1PB,1 November 2023,Publication date1 September 2023,None
Safeguarding UK & US Economies From National Security Threats Risks - British Embassy in Washington DC,None,Opportunity,Open,Any region,"22 September 2023, 11:59pm","£42,000",1 September 2023
The Provision of Employee Assistance Programme (EAP) Bedfordshire Hospitals NHS FT,None,Opportunity,Open,East of England,"6 October 2023, 12pm","£280,000",1 September 2023
International Student Enquiry Management System (ISEMS),None,Opportunity,Open,LS18 5HD,"6 October 2023, 10am",£0,1 September 2023
HMPPS Control and Restraint Matting,None,Early engagement,Open,Any region,29 September 2023,Publication date1 September 2023,None
"Tender for 21-23 High Street South, Dunstable - Reinstatement of Ground Floor Shopfronts, First Floor Windows and the Repair and Reinstatement of Various Historic Architectural Features works to 21-23 High Street South, Dunstable.",None,Opportunity,Open,LU6 3SA,"29 September 2023, 11pm","£200,000",1 September 2023
Training and Development Services,None,Early engagement,Open,CB21 5XB,2 October 2023,Publication date1 September 2023,None
GB-London: CON-23-202 - Virtualisation Cluster,None,Opportunity,Open,London,"16 October 2023, 12pm","£50,000 to £100,000",1 September 2023
Teleradiology Services,None,Opportunity,Open,CB21 5XB,"6 October 2023, 12pm","£40,000,000",1 September 2023
Supply of HLA Sequencing Systems,None,Opportunity,Open,BS34 7QH,"6 October 2023,  5pm","£6,054,400 to £5,000,000",1 September 2023
Supply of quality Plants (for October),None,Opportunity,Open,IP1 2DE,"21 September 2023, 11am",£0,1 September 2023
Non Emergency Patient Transport Service (NEPTS) for North West England,None,Opportunity,Open,North West,"12 October 2023, 12pm","£465,506,328",1 September 2023
Provision of Public Sector Decarbonisation Programme of Properties which requires the installation of ground source heat pumps and solar PV at Kestrel House for South Norfolk District Council,None,Opportunity,Open,NR7 0WF,"16 October 2023,  4pm","£320,000 to £400,000","1 September 2023, last edited  1 September 2023"
SCC GW Children's Residential Care DPS,None,Opportunity,Open,RH2 8EF,"29 December 2023, 12pm","£37,000,000",1 September 2023
Supply of quality Trees (for November),None,Opportunity,Open,IP1 2DE,"21 September 2023, 11am",£0,1 September 2023
TC1177 - Manchester Art Gallery & Queens Park Conservation Studios Storage Furniture,None,Opportunity,Open,England,"2 October 2023, 11am","£200,000",1 September 2023
CPU5405 Oral Health Promotion Service,None,Opportunity,Open,England,"9 October 2023, 12pm","£650,000",1 September 2023
Group Solar PV Purchase Scheme - Market Engagement,None,Early engagement,Open,United Kingdom,22 September 2023,Publication date1 September 2023,None
Provision of Website Development and Hosting Services,None,Opportunity,Open,CB2 0QQ,"2 October 2023, 12pm","£10,000 to £45,000",1 September 2023
Parish Buying Energy Action Plans,None,Opportunity,Open,"England, Isle of Man, Channel Islands","22 September 2023, 12pm",£0,1 September 2023
London Local Authority Emergency Centre Training Programme,None,Opportunity,Open,London,"29 September 2023, 12pm","£10,000 to £30,000",1 September 2023
Cambridgeshire County Council and Peterborough City Council Education Management System Programme,None,Opportunity,Open,England,"3 October 2023, 12pm","£2,500,000","11 August 2023, last edited  1 September 2023"
Providing Water Testing Services at the British High Commission properties in the India network,None,Opportunity,Open,Any region,"15 September 2023,  5pm","£95,650",1 September 2023
TWBC Parking Stationery Supplies,None,Opportunity,Open,England,"22 September 2023, 12pm",£0,1 September 2023
Expression of Interest - Christmas Market,None,Early engagement,Open,South West,15 September 2023,Publication date1 September 2023,None
Campus Wide Solar PV Panel Supply & Installation Works,None,Opportunity,Open,South West,"23 October 2023, 12pm",£0,1 September 2023
Design and Build of a Cleanroom Enclosure Grade C & D,None,Opportunity,Open,TS104RF,"15 September 2023, 12pm","£300,000 to £350,000","9 August 2023, last edited  1 September 2023"
Supply of Solvents,None,Opportunity,Open,TS104RF,"15 September 2023, 12pm","£2,000,000","8 August 2023, last edited  1 September 2023"
GB-Kings Lynn: Waterway and Pond Clearance Works in King's Lynn,None,Opportunity,Open,East of England,"5 October 2023, 12pm","£100,000 to £500,000",1 September 2023
CHS heating and Electrical procurement,None,Opportunity,Open,CB249ZR,"2 October 2023, 12pm","£5,300,000",1 September 2023
159-SNBD-23 South Norfolk District Council & Broadland District Council's Hybrid Mail Tender,None,Opportunity,Open,NR7 0WF,"2 October 2023, 11am","£0 to £1,100,000","1 September 2023, last edited  1 September 2023"
"Market Engagement for a Primary Care Information governance advice and guidance support service, together with a named Data Protection Officer to NHS Bristol, North Somerset & South Gloucestershire ICB",None,Early engagement,Open,South West,15 September 2023,Publication date1 September 2023,None
Construction of Single Storey Extension and Alterations,None,Opportunity,Open,S21 4JX,"25 September 2023, 12pm","£50,000",1 September 2023
Tender for Provision of External Building Fabric Improvements at Hereford Governor's House,None,Opportunity,Open,West Midlands,"9 October 2023, 12pm","£130,000","29 August 2023, last edited  1 September 2023"
PL0047 Essex Construction Framework 3,None,Opportunity,Open,England,"26 January 2024, 12pm","£400,000,000",1 September 2023
"Tender for the provision of Changing Places and Public Toilet Improvements at Maylord Orchards, Hereford",None,Opportunity,Open,West Midlands,"29 September 2023, 12pm","£250,000",1 September 2023
NRC Upper Limb Rehabilitation,None,Early engagement,Open,NG5 1PB,17 November 2023,Publication date1 September 2023,None
NRC Gym Equipment Pre Market Engagement,None,Early engagement,Open,NG5 1PB,17 November 2023,Publication date1 September 2023,None
Review and weight of evidence of the relevant endpoints of bisphenol A (BPA),None,Opportunity,Open,Any region,"20 October 2023, 12pm","£75,000 to £90,000",1 September 2023
Soft Market Test for Utility Billing platform and services for the Swaffham Prior Heating Network,None,Early engagement,Open,PE28 4YE,25 September 2023,Publication date1 September 2023,None
Property Extension (Valerian Way) Disabled Facilities Grants,None,Opportunity,Open,West Midlands,"29 September 2023,  2pm","£40,000",1 September 2023
Council Chambers and Office Renovations,None,Opportunity,Open,BS37 6JZ,"12 October 2023, 12pm","£80,000",1 September 2023
Early engagement and soft market testing - DWP Water Hygiene Risk Assessment Services,None,Early engagement,Open,"Any region, North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Scotland, Wales",22 September 2023,Publication date1 September 2023,None
Design & Consultancy Services Framework - National,None,Opportunity,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West, Scotland, Wales, Northern Ireland","2 October 2023, 10am","£50,000,000",1 September 2023
"Supply, Delivery, Installation, Maintenance & Disposal of Air Systems and Ancillary Equipment",None,Opportunity,Open,England,"2 October 2023,  1pm","£120,000","1 September 2023, last edited  1 September 2023"
York Bridge Conservation Works,None,Opportunity,Open,London,"30 November 2023,  4pm","£1,300,000",1 September 2023
Navigational Dredging and Disposal Impact Pathways for Non Native Species,None,Opportunity,Open,United Kingdom,"22 September 2023,  5pm","£10,000 to £20,833","17 August 2023, last edited  1 September 2023"
SSD 23 03 Derbyshire Dementia Information and Advice Service,None,Opportunity,Open,England,"6 October 2023, 10am","£1,850,000 to £2,350,000",1 September 2023
RFQ: Procurement of the Electronic Spectrum Analyser (ESA),None,Opportunity,Open,TW11 0LW,"15 September 2023,  5pm",£0,1 September 2023
Countywide Advocacy Service,None,Early engagement,Open,South East,11 September 2023,Publication date1 September 2023,None
GB-Manchester: ACE 533 ITT - Cultural Tax Reliefs Impact Review,None,Opportunity,Open,Any region,"29 September 2023, 12pm","£50,000 to £100,000",1 September 2023
"Expressions of Interest Caretaker for General Dental Services in Bolsover, Derbyshire",None,Early engagement,Open,England,15 September 2023,Publication date1 September 2023,None
Digital aerial low tide survey and validation study of digital aerial survey methods at Morecambe Bay and Duddon Estuary Special Protection Area (SPA) in winter 2023/24,None,Future opportunity,Open,North West,Approach to market date29 September 2023,"£20,833 to £41,666","1 September 2023, last edited  1 September 2023"
Shore-based low tide counts and validation study of digital aerial survey methods at Morecambe Bay and Duddon Estuary Special Protection Area (SPA),None,Future opportunity,Open,North West,Approach to market date29 September 2023,"£12,500 to £29,167",1 September 2023
Dynamic Purchasing System for the Provision of Apprenticeship Training,None,Opportunity,Open,North East,"15 September 2023, 12pm","£800,000",1 September 2023
MEDICINE OPTIMISATION PRESCRIBING DECISION SUPPORT SYSTEMS 3 (SBS10252),None,Opportunity,Open,United Kingdom,"13 October 2023, 12pm","£100,000,000",1 September 2023
Internal Audit Services 2024-2027,None,Opportunity,Open,East of England,"2 October 2023,  3pm","£500,000",1 September 2023
IRM21/7585 - The Supply of Expeditionary Protective Structures and Spares,None,Opportunity,Open,TF2 8JT,"2 October 2023,  4pm","£3,000,000",1 September 2023
Market engagement event for - Adult Mental Wellbeing In The Community,None,Opportunity,Open,CR0 1EA,"12 September 2023, 12pm",£0,1 September 2023
"Footway Improvements, A286 West Dean, West Sussex",None,Opportunity,Open,GU29 9DH,"2 October 2023, 12pm","£3,000 to £4,000",1 September 2023
Oil Filled Radiators,None,Opportunity,Open,CR0 1EA,"20 September 2023, 12pm",£0,1 September 2023
Tenancy of Community Café at Compton Centre Community Hub,None,Opportunity,Open,LS9 7BG,"22 September 2023, 12pm","£0 to £150,000",1 September 2023
CPU 6013 (NCC) Bus route 50 Enhancement,None,Opportunity,Open,East Midlands,"2 October 2023,  3pm",£0,1 September 2023
CA12827 - Tender 44/2023 - Digital Transformation Flexible Fund Delivery Agent and Assessment of Grant Applications,None,Opportunity,Open,BT35 8DJ,"22 September 2023, 12pm","£110,000",1 September 2023
Beach Huts at Leysdown and Minster - A954,None,Opportunity,Open,England,"2 October 2023,  9:30am","£171,600",1 September 2023
Tax Compliance and Advisory Services (FH23_001),None,Opportunity,Open,England,"3 October 2023, 12pm","£300,000",1 September 2023
A47 North Tuddenham to Easton Scheme - Structures,None,Early engagement,Open,East of England,15 September 2023,Publication date1 September 2023,None
Connected Competence Project Management Support,None,Opportunity,Open,United Kingdom,"15 September 2023,  5pm","£16,000 to £30,000",1 September 2023
Educational Psychology Psychological Advice (EHCNA) delivery service,None,Opportunity,Open,IP1 2BX,"21 September 2023, 12pm",£0,"31 August 2023, last edited  1 September 2023"
Provision of Vision Testing Services (PS/21/126),None,Future opportunity,Open,SA6 7JL,Approach to market date15 January 2024,"£14,180,000","25 August 2023, last edited  1 September 2023"
Mobile Voice & Data Services,None,Opportunity,Open,PE11 2XE,"11 September 2023,  5pm","£300,000 to £400,000","11 August 2023, last edited  1 September 2023"
Housing Stock Condition Surveys to  Council  Dwellings,None,Opportunity,Open,PE11 2XE,"18 September 2023,  4pm",£0,"18 August 2023, last edited  1 September 2023"
Provision of and all associated services of a Digital Warden and Telecare Call Systems,None,Opportunity,Open,PE11 2XE,"15 September 2023,  4pm",£0,"18 August 2023, last edited  1 September 2023"
Replacement Project Management System,None,Opportunity,Open,NG18 4RG,"2 October 2023,  4pm",£0,1 September 2023
"Air Compressor Service, Maintenance, Supply and Reactive Repair",None,Opportunity,Open,Wales,"27 September 2023,  2pm","£10,000",1 September 2023
"CPG/9844/2023 - Provision of Cleaning Services for the British Embassy in Lima, Peru.",None,Opportunity,Open,Any region,"15 September 2023, 11:59pm",£0,31 August 2023
Dynamic Purchasing System for Residential Substance Misuse Rehabilitation Services,None,Opportunity,Open,England,"15 September 2023, 12pm","£427,500",31 August 2023
PAYROLL AND PENSION ADMINISTRATION AND  ACCESS TO A HUMAN RESOURCES MANAGEMENT SYSTEM,None,Opportunity,Open,England,"28 September 2023,  4pm","£245,000 to £315,000",31 August 2023
JHG- Energy Procurement & Management Services,None,Opportunity,Open,"North West, East Midlands","2 October 2023, 12pm",£0,31 August 2023
Appropriate Adult Service,None,Opportunity,Open,England,"28 September 2023, 12pm","£60,000 to £360,000",31 August 2023
Core Claims Services,None,Opportunity,Open,Any region,"2 October 2023,  2pm","£50,000,000",31 August 2023
CPU 5785 Translation Interpretation and Sign Language Service,None,Opportunity,Open,England,"2 October 2023, 12pm","£1,974,000",31 August 2023
